,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing
0,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-08 21:13:43.000,2021-01-08 21:13:36.000,2,2021-01-08 01:07:00.000,2021.01.08,2.0,0,True,,,,,,,,,,,,,,,,,,,
1,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-01-09 12:14:15.000,2021-01-09 12:14:13.000,1,2021-01-09 12:14:23.000,2021.01.09,1.0,0,True,,,,,,,,,,,,,,,,,,,
2,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-08 21:13:43.000,2021-01-08 21:13:36.000,2,2021-01-08 01:07:00.000,2021.01.08,2.0,0,True,,,,,,,,,,,,,,,,,,,
3,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-01-11 19:00:54.000,2021-01-11 19:00:46.000,97,2021-01-08 03:42:51.000,2021.01.08,9.0,0,True,13.0,4.0,3.0,,,,,,,,,,,,,,,,
4,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3.0-Clause,2014-08-26 15:52:15.000,2021-01-11 19:53:36.000,2021-01-11 19:53:35.000,45633,2020-11-13 23:48:20.000,3.14.0,68.0,39,False,12221.0,3197.0,773.0,conda-forge/protobuf,protobuf,1234.0,7838.0,21965805.0,34935250.0,136498.0,111558.0,https://pypi.org/project/protobuf,2020-11-12 23:15:38.000,24940.0,34582056.0,https://anaconda.org/conda-forge/protobuf,2021-01-08 11:13:05.613,4007553.0,1.0
5,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-01-12 04:03:19.663,2021-01-11 19:22:20.000,10544,2021-01-07 22:08:19.000,1.18.212,1145.0,39,True,2491.0,2790.0,325.0,conda-forge/awscli,awscli,722.0,9863.0,565.0,36887187.0,24116.0,18696.0,https://pypi.org/project/awscli,2021-01-11 20:43:26.000,5420.0,36782838.0,https://anaconda.org/conda-forge/awscli,2021-01-12 04:03:19.663,5633737.0,1.0
6,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000,2021-01-11 14:18:43.000,2021-01-11 14:18:35.000,3734,2020-10-28 03:24:22.000,3.3.1,83.0,38,True,793.0,1549.0,224.0,conda-forge/cryptography,cryptography,30.0,8113.0,,26355183.0,172453.0,138565.0,https://pypi.org/project/cryptography,2020-12-10 02:28:21.000,33888.0,26131893.0,https://anaconda.org/conda-forge/cryptography,2021-01-11 04:44:53.332,9601501.0,1.0
7,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2021-01-11 16:43:00.000,2021-01-01 08:50:32.000,10241,2020-04-27 21:02:36.000,7.1.2,39.0,37,True,1013.0,989.0,273.0,conda-forge/click,click,81.0,1713.0,,21833639.0,540222.0,430760.0,https://pypi.org/project/click,2020-11-25 18:19:38.000,109462.0,21726572.0,https://anaconda.org/conda-forge/click,2020-04-27 21:01:19.813,5781643.0,1.0
8,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000,2021-01-11 22:57:02.200,2021-01-11 19:22:27.000,907,2021-01-07 22:08:09.000,1.19.52,1137.0,37,True,732.0,613.0,151.0,conda-forge/botocore,botocore,201.0,8577.0,,68661299.0,80990.0,66872.0,https://pypi.org/project/botocore,2021-01-11 20:43:08.000,14118.0,68559544.0,https://anaconda.org/conda-forge/botocore,2021-01-11 22:57:02.200,5494791.0,2.0
9,docker-compose,docker/compose,Define and run multi-container applications with Docker.,,infrastructure,https://github.com/docker/compose,https://github.com/docker/compose,Apache-2.0,2013-12-09 11:40:58.000,2021-01-11 19:44:46.000,2021-01-11 17:33:16.000,21571,2020-09-24 15:57:16.000,1.27.4,134.0,36,True,3561.0,4836.0,404.0,conda-forge/docker-compose,docker-compose,463.0,5920.0,155502756.0,3460592.0,7985.0,5783.0,https://pypi.org/project/docker-compose,2021-01-04 15:49:53.000,2202.0,822449.0,https://anaconda.org/conda-forge/docker-compose,2020-10-14 03:40:42.036,72640.0,2.0
