,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,labels
0,caer,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-01-27 13:49:54.000,2021-01-27 13:49:53.000,468,1.0,10.0,3849,2021-01-21 18:23:55.000,2021.01.21,12.0,16,0,True,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-25 10:01:32.000,2021-01-25 10:01:31.000,57,,2.0,964,2021-01-21 18:24:48.000,2021.01.21,5.0,6,0,True,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-01-28 14:14:20.000,2021-01-24 14:07:08.000,6,,5.0,165,2021-01-24 14:07:25.000,2021.01.21,4.0,1,0,True,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-25 10:01:32.000,2021-01-25 10:01:31.000,57,,2.0,964,2021-01-21 18:24:48.000,2021.01.21,5.0,6,0,True,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-01-27 13:49:54.000,2021-01-27 13:49:53.000,468,1.0,10.0,3849,2021-01-21 18:23:55.000,2021.01.21,12.0,16,0,True,,,,,,,,,,,,,,,,,,
5,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2021-01-28 10:48:19.000,2021-01-28 10:48:18.000,12221,1234.0,3238.0,46113,2020-11-13 23:48:20.000,3.14.0,68.0,773,40,True,conda-forge/protobuf,protobuf,7850.0,22318223.0,27933731.0,139659.0,114719.0,https://pypi.org/project/protobuf,2020-11-12 23:15:38.000,24940.0,27574509.0,https://anaconda.org/conda-forge/protobuf,2021-01-08 11:13:05.613,4093180.0,1.0,,,
6,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-01-28 04:20:44.374,2021-01-28 00:38:18.000,2502,739.0,2803.0,10603,2021-01-26 20:21:30.000,1.18.220,1153.0,327,39,True,conda-forge/awscli,awscli,9910.0,565.0,28085411.0,24459.0,19039.0,https://pypi.org/project/awscli,2021-01-26 20:21:30.000,5420.0,27978543.0,https://anaconda.org/conda-forge/awscli,2021-01-28 04:20:44.374,5769757.0,1.0,,,
7,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2021-01-25 16:42:32.000,2021-01-14 16:00:00.000,1013,81.0,999.0,10321,2020-04-27 21:02:36.000,7.1.2,39.0,274,37,True,conda-forge/click,click,1714.0,,18462286.0,551294.0,441832.0,https://pypi.org/project/click,2020-11-25 18:19:38.000,109462.0,18350875.0,https://anaconda.org/conda-forge/click,2020-04-27 21:01:19.813,6016226.0,1.0,,,
8,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2021-01-28 02:43:34.207,2021-01-27 19:08:01.000,1312,298.0,1968.0,6085,2021-01-26 20:21:24.000,1.16.60,747.0,109,37,True,conda-forge/boto3,boto3,4065.0,,43234137.0,118471.0,95381.0,https://pypi.org/project/boto3,2021-01-26 20:21:24.000,23090.0,43147767.0,https://anaconda.org/conda-forge/boto3,2021-01-28 02:43:34.207,4318510.0,1.0,,,
9,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000,2021-01-28 14:15:40.000,2021-01-28 14:15:27.000,804,33.0,1556.0,3758,2020-12-10 02:28:21.000,3.3.1,83.0,225,37,True,conda-forge/cryptography,cryptography,8118.0,,21232868.0,176152.0,142264.0,https://pypi.org/project/cryptography,2020-12-10 02:28:21.000,33888.0,21001272.0,https://anaconda.org/conda-forge/cryptography,2021-01-11 04:44:53.332,9958657.0,1.0,-1.0,,
10,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2021-01-27 20:36:19.000,2021-01-27 18:08:01.000,508,161.0,5435.0,3246,2020-12-18 21:13:06.000,1.3.22,207.0,449,37,True,conda-forge/sqlalchemy,SQLAlchemy,13524.0,1183.0,9947560.0,317758.0,234052.0,https://pypi.org/project/SQLAlchemy,2020-12-18 21:13:06.000,83706.0,9885301.0,https://anaconda.org/conda-forge/sqlalchemy,2021-01-08 17:47:42.108,2984948.0,1.0,,,
11,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000,2021-01-28 11:57:18.000,2021-01-27 23:00:13.000,735,199.0,617.0,913,2021-01-26 20:21:19.000,1.19.60,1145.0,153,37,True,conda-forge/botocore,botocore,8623.0,,55455978.0,83077.0,68959.0,https://pypi.org/project/botocore,2021-01-26 20:21:19.000,14118.0,55350380.0,https://anaconda.org/conda-forge/botocore,2021-01-27 23:44:52.414,5702293.0,1.0,,,
12,docker-compose,docker/compose,Define and run multi-container applications with Docker.,,infrastructure,https://github.com/docker/compose,https://github.com/docker/compose,Apache-2.0,2013-12-09 11:40:58.000,2021-01-28 10:13:56.000,2021-01-26 20:07:24.000,3572,460.0,4861.0,21703,2021-01-26 20:04:17.000,1.28.2,137.0,405,36,True,conda-forge/docker-compose,docker-compose,5934.0,149319106.0,3350180.0,8124.0,5922.0,https://pypi.org/project/docker-compose,2021-01-26 19:57:34.000,2202.0,727974.0,https://anaconda.org/conda-forge/docker-compose,2021-01-26 21:28:56.796,74638.0,2.0,,,
13,redis,andymccurdy/redis-py,Redis Python Client.,,db-clients,https://github.com/andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,MIT,2009-11-06 10:22:26.000,2021-01-27 21:22:39.000,2020-11-22 20:52:44.000,1903,62.0,812.0,9045,2020-06-01 21:30:33.000,3.5.3,66.0,248,36,True,,redis,1550.0,,6795365.0,49438.0,,https://pypi.org/project/redis,2020-06-01 21:30:33.000,49438.0,6795365.0,,,,1.0,,,
14,docker,docker/docker-py,A Python library for the Docker Engine API.,,infrastructure,https://github.com/docker/docker-py,https://github.com/docker/docker-py,Apache-2.0,2013-05-23 16:15:07.000,2021-01-27 21:37:24.696,2020-12-28 17:26:25.000,1432,395.0,1039.0,5083,2021-01-07 17:44:54.000,4.4.1,69.0,382,36,True,conda-forge/docker-py,docker,3120.0,,7937276.0,22944.0,18576.0,https://pypi.org/project/docker,2020-12-22 20:46:52.000,4368.0,7921640.0,https://anaconda.org/conda-forge/docker-py,2021-01-27 21:37:24.696,844372.0,2.0,,,
