,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,new_addition,labels
0,caer,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-02-03 18:27:14.000,2021-01-28 16:43:54.000,493,1.0,10.0,4029,2021-01-28 16:44:20.000,2021.01.28,13.0,15,0,True,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-29 05:28:55.000,2021-01-28 16:44:42.000,58,,2.0,989,2021-01-28 16:45:07.000,2021.01.28,6.0,6,0,True,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-02-04 14:15:37.000,2021-01-28 16:45:44.000,6,,5.0,179,2021-01-28 16:46:02.000,2021.01.28,5.0,1,0,True,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-29 05:28:55.000,2021-01-28 16:44:42.000,58,,2.0,989,2021-01-28 16:45:07.000,2021.01.28,6.0,6,0,True,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-02-03 18:27:14.000,2021-01-28 16:43:54.000,493,1.0,10.0,4029,2021-01-28 16:44:20.000,2021.01.28,13.0,15,0,True,,,,,,,,,,,,,,,,,,,
5,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2021-02-04 01:59:11.000,2021-02-04 01:59:10.000,12347,1226.0,3251.0,46209,2020-11-13 23:48:20.000,3.14.0,69.0,777,39,True,conda-forge/protobuf,protobuf,7881.0,22471406.0,22732817.0,140854.0,115914.0,https://pypi.org/project/protobuf,2020-11-13 23:45:34.000,24940.0,22375702.0,https://anaconda.org/conda-forge/protobuf,2021-01-08 11:13:05.613,4141315.0,1.0,-1.0,,,
6,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-02-04 02:54:34.919,2021-02-03 19:09:48.000,2502,741.0,2807.0,10631,2021-01-29 20:35:47.000,1.18.223,1156.0,328,38,True,conda-forge/awscli,awscli,9944.0,565.0,23508764.0,24593.0,19173.0,https://pypi.org/project/awscli,2021-01-29 20:35:47.000,5420.0,23402494.0,https://anaconda.org/conda-forge/awscli,2021-02-04 02:54:34.919,5843789.0,1.0,-1.0,,,
7,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2021-02-03 16:23:59.000,2021-02-01 10:15:58.000,1013,81.0,1001.0,10358,2020-04-27 21:02:36.000,7.1.2,39.0,275,37,True,conda-forge/click,click,1726.0,,16208089.0,555665.0,446203.0,https://pypi.org/project/click,2020-11-25 18:19:38.000,109462.0,16096806.0,https://anaconda.org/conda-forge/click,2020-04-27 21:01:19.813,6120598.0,1.0,,,,
8,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2021-02-04 01:23:48.727,2021-02-03 19:09:47.000,1315,304.0,1970.0,6103,2021-02-03 20:30:49.000,1.17.1,752.0,109,37,True,conda-forge/boto3,boto3,4084.0,,41509927.0,119607.0,96517.0,https://pypi.org/project/boto3,2021-02-03 20:30:49.000,23090.0,41423798.0,https://anaconda.org/conda-forge/boto3,2021-02-04 01:23:48.727,4392607.0,1.0,,,,
9,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000,2021-02-03 13:43:29.000,2021-02-03 13:43:16.000,805,34.0,1556.0,3771,2020-12-10 02:28:21.000,3.3.1,83.0,225,37,True,conda-forge/cryptography,cryptography,8154.0,,18169588.0,177758.0,143870.0,https://pypi.org/project/cryptography,2020-12-10 02:28:21.000,33888.0,17939378.0,https://anaconda.org/conda-forge/cryptography,2021-01-11 04:44:53.332,10129258.0,1.0,,,,
10,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000,2021-02-04 00:29:25.021,2021-02-03 19:09:55.000,740,197.0,618.0,915,2021-01-26 20:21:19.000,1.19.60,1145.0,153,37,True,conda-forge/botocore,botocore,8649.0,,47763321.0,83957.0,69839.0,https://pypi.org/project/botocore,2021-01-26 20:21:19.000,14118.0,47657794.0,https://anaconda.org/conda-forge/botocore,2021-02-04 00:29:25.021,5804025.0,1.0,,,,
11,docker-compose,docker/compose,Define and run multi-container applications with Docker.,,infrastructure,https://github.com/docker/compose,https://github.com/docker/compose,Apache-2.0,2013-12-09 11:40:58.000,2021-02-03 09:13:41.000,2021-01-26 20:07:24.000,3572,460.0,4871.0,21760,2021-01-26 20:04:17.000,1.28.2,137.0,405,36,True,conda-forge/docker-compose,docker-compose,5934.0,149714830.0,3272044.0,8165.0,5963.0,https://pypi.org/project/docker-compose,2021-01-26 19:57:34.000,2202.0,688226.0,https://anaconda.org/conda-forge/docker-compose,2021-01-26 21:28:56.796,75851.0,2.0,,,,
12,redis,andymccurdy/redis-py,Redis Python Client.,,db-clients,https://github.com/andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,MIT,2009-11-06 10:22:26.000,2021-01-27 21:22:39.000,2020-11-22 20:52:44.000,1903,62.0,813.0,9055,2020-06-01 21:30:33.000,3.5.3,66.0,248,36,True,,redis,1550.0,,5801305.0,49438.0,,https://pypi.org/project/redis,2020-06-01 21:30:33.000,49438.0,5801305.0,,,,1.0,,,,
13,docker,docker/docker-py,A Python library for the Docker Engine API.,,infrastructure,https://github.com/docker/docker-py,https://github.com/docker/docker-py,Apache-2.0,2013-05-23 16:15:07.000,2021-01-27 21:37:24.696,2020-12-28 17:26:25.000,1432,395.0,1040.0,5090,2021-01-07 17:44:54.000,4.4.1,69.0,382,36,True,conda-forge/docker-py,docker,3120.0,,6858689.0,23103.0,18735.0,https://pypi.org/project/docker,2020-12-22 20:46:52.000,4368.0,6842970.0,https://anaconda.org/conda-forge/docker-py,2021-01-27 21:37:24.696,864579.0,2.0,,,,
14,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2021-02-04 14:52:07.000,2021-02-04 09:44:34.000,512,150.0,5463.0,3268,2021-02-01 20:56:35.000,rel_1_3_23,209.0,450,36,True,conda-forge/sqlalchemy,SQLAlchemy,13551.0,1223.0,8675911.0,319762.0,236056.0,https://pypi.org/project/SQLAlchemy,2021-02-03 23:31:23.000,83706.0,8613897.0,https://anaconda.org/conda-forge/sqlalchemy,2021-02-02 00:35:44.745,3035212.0,1.0,-1.0,,,
15,pymongo,mongodb/mongo-python-driver,PyMongo - the Python driver for MongoDB.,,db-clients,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06.000,2021-02-04 00:34:05.000,2021-02-04 00:33:36.000,984,3.0,,3214,2021-02-03 02:58:15.000,3.11.3,116.0,180,36,True,conda-forge/pymongo,pymongo,4659.0,,4015560.0,121722.0,85860.0,https://pypi.org/project/pymongo,2021-02-03 02:58:15.000,35862.0,4009561.0,https://anaconda.org/conda-forge/pymongo,2020-10-12 20:39:14.177,335965.0,1.0,,,,
16,PyYAML,yaml/pyyaml,Canonical source repository for PyYAML.,,file-formats,https://github.com/yaml/pyyaml,https://github.com/yaml/pyyaml,MIT,2011-11-03 05:09:49.000,2021-01-30 20:40:41.000,2021-01-20 21:40:50.000,301,175.0,195.0,1380,2021-01-20 22:07:31.000,5.4.1,28.0,36,36,True,conda-forge/pyyaml,pyyaml,285.0,,38741848.0,392855.0,278519.0,https://pypi.org/project/pyyaml,2021-01-20 22:07:31.000,114336.0,38579638.0,https://anaconda.org/conda-forge/pyyaml,2021-01-21 02:30:09.972,9083789.0,1.0,,,,
17,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,Library for building powerful interactive command line applications in Python.,,cli-helpers,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08.000,2021-02-04 10:30:36.000,2021-02-04 10:29:38.000,523,386.0,464.0,6803,2019-10-03 15:18:40.000,2.0.10,81.0,171,35,True,,prompt_toolkit,2494.0,,7859191.0,135148.0,128932.0,https://pypi.org/project/prompt_toolkit,2019-10-03 15:18:40.000,6216.0,7859191.0,,,,1.0,,,,
