,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,labels
0,caer,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-02-18 16:39:53.000,2021-02-18 16:39:52.000,527,3.0,10.0,4235,2021-02-18 16:40:16.000,2021.02.18,15.0,17,0,True,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-02-18 16:33:47.000,2021-02-18 16:33:46.000,61,,2.0,1041,2021-02-18 16:33:55.000,2021.02.18,8.0,6,0,True,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-02-25 14:18:07.000,2021-02-18 16:32:04.000,8,,5.0,199,2021-02-18 16:32:19.000,2021.02.18,6.0,1,0,True,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-02-18 16:33:47.000,2021-02-18 16:33:46.000,61,,2.0,1041,2021-02-18 16:33:55.000,2021.02.18,8.0,6,0,True,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-02-18 16:39:53.000,2021-02-18 16:39:52.000,527,3.0,10.0,4235,2021-02-18 16:40:16.000,2021.02.18,15.0,17,0,True,,,,,,,,,,,,,,,,,,
5,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2021-02-25 14:11:33.000,2021-02-25 00:46:27.000,12415,1213.0,3297.0,46481,2021-02-23 23:03:22.000,3.15.2,74.0,783,39,True,conda-forge/protobuf,protobuf,7958.0,22927487.0,22515350.0,144450.0,119510.0,https://pypi.org/project/protobuf,2021-02-23 23:40:15.000,24940.0,22149862.0,https://anaconda.org/conda-forge/protobuf,2021-02-24 19:20:34.024,4292814.0,1.0,,,
6,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-02-25 01:41:25.030,2021-02-24 19:37:33.000,2524,745.0,2844.0,10697,2021-02-19 20:22:13.000,1.19.12,1169.0,330,38,True,conda-forge/awscli,awscli,10019.0,566.0,23466427.0,25022.0,19602.0,https://pypi.org/project/awscli,2021-02-19 20:22:13.000,5420.0,23355314.0,https://anaconda.org/conda-forge/awscli,2021-02-25 01:41:25.030,6110145.0,1.0,,,
7,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2021-02-25 01:08:57.000,2021-02-25 01:08:57.000,1032,90.0,1019.0,10442,2020-04-27 21:02:36.000,7.1.2,39.0,283,37,True,conda-forge/click,click,1766.0,,16943848.0,568400.0,458938.0,https://pypi.org/project/click,2020-11-25 18:19:38.000,109462.0,16827855.0,https://anaconda.org/conda-forge/click,2020-04-27 21:01:19.813,6379669.0,1.0,,,
8,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2021-02-25 00:44:06.430,2021-02-24 19:37:32.000,1322,302.0,1987.0,6166,2021-02-17 20:24:32.000,1.17.10,761.0,110,37,True,conda-forge/boto3,boto3,4143.0,,66365983.0,122776.0,99686.0,https://pypi.org/project/boto3,2021-02-17 20:24:32.000,23090.0,66275637.0,https://anaconda.org/conda-forge/boto3,2021-02-25 00:44:06.430,4607682.0,1.0,,,
9,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000,2021-02-24 23:41:05.138,2021-02-24 19:37:40.000,743,206.0,622.0,921,2021-02-12 20:31:34.000,1.20.7,1156.0,154,37,True,conda-forge/botocore,botocore,8721.0,,51499405.0,86453.0,72335.0,https://pypi.org/project/botocore,2021-02-12 20:31:34.000,14118.0,51388893.0,https://anaconda.org/conda-forge/botocore,2021-02-24 23:41:05.138,6078202.0,1.0,,,
10,docker-compose,docker/compose,Define and run multi-container applications with Docker.,,infrastructure,https://github.com/docker/compose,https://github.com/docker/compose,Apache-2.0,2013-12-09 11:40:58.000,2021-02-25 14:24:57.000,2021-02-25 13:21:53.000,3638,479.0,4900.0,21933,2021-02-18 21:03:12.000,1.28.4,139.0,407,36,True,conda-forge/docker-compose,docker-compose,5969.0,149809918.0,3368107.0,8296.0,6094.0,https://pypi.org/project/docker-compose,2021-02-18 20:47:50.000,2202.0,737141.0,https://anaconda.org/conda-forge/docker-compose,2021-02-18 22:52:52.339,81685.0,2.0,,,
11,redis,andymccurdy/redis-py,Redis Python Client.,,db-clients,https://github.com/andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,MIT,2009-11-06 10:22:26.000,2021-02-11 18:11:46.000,2020-11-22 20:52:44.000,1927,71.0,815.0,9106,2020-06-01 21:30:33.000,3.5.3,66.0,248,36,True,,redis,1550.0,,6024241.0,49438.0,,https://pypi.org/project/redis,2020-06-01 21:30:33.000,49438.0,6024241.0,,,,1.0,,,
