,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels
0,caer,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-03-25 15:28:20.000,2021-03-13 18:24:25.000,575,3.0,12.0,4553,2021-03-13 18:20:49.000,2021.03.11,18.0,17,0,True,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-03-25 15:13:20.000,2021-03-13 18:19:34.000,68,,2.0,1138,2021-03-13 18:15:12.000,2021.03.11,11.0,6,0,True,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-04-01 14:04:43.000,2021-03-13 18:26:07.000,12,,5.0,253,2021-03-13 18:26:16.000,2021.03.11,9.0,1,0,True,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-03-25 15:13:20.000,2021-03-13 18:19:34.000,68,,2.0,1138,2021-03-13 18:15:12.000,2021.03.11,11.0,6,0,True,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-03-25 15:28:20.000,2021-03-13 18:24:25.000,575,3.0,12.0,4553,2021-03-13 18:20:49.000,2021.03.11,18.0,17,0,True,,,,,,,,,,,,,,,,,,,
5,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2021-04-01 00:14:09.000,2021-03-31 20:47:47.000,12563,1206.0,3316.0,47091,2021-03-11 19:57:59.000,3.15.6,78.0,800,39,True,conda-forge/protobuf,protobuf,8056.0,23860818.0,20828819.0,151206.0,126266.0,https://pypi.org/project/protobuf,2021-03-11 20:49:41.000,24940.0,20456451.0,https://anaconda.org/conda-forge/protobuf,2021-03-12 02:38:23.182,4594730.0,1.0,-1.0,,,
6,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-04-01 02:21:43.528,2021-03-31 23:32:41.000,2572,718.0,2910.0,10845,2021-03-26 19:26:02.000,1.19.39,1199.0,335,38,True,conda-forge/awscli,awscli,10164.0,566.0,20411918.0,25873.0,20453.0,https://pypi.org/project/awscli,2021-03-31 20:46:51.000,5420.0,20296411.0,https://anaconda.org/conda-forge/awscli,2021-04-01 02:21:43.528,6582817.0,1.0,,,,
7,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2021-04-01 13:12:10.000,2021-03-31 19:26:02.000,1039,58.0,1046.0,10610,2020-04-27 21:02:36.000,7.1.2,39.0,287,37,True,conda-forge/click,click,1802.0,,15610937.0,592360.0,482898.0,https://pypi.org/project/click,2020-11-25 18:19:38.000,109462.0,15490293.0,https://anaconda.org/conda-forge/click,2020-04-27 21:01:19.813,6876751.0,1.0,,,,
8,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2021-04-01 01:35:26.694,2021-03-31 19:35:23.000,1331,291.0,2020.0,6247,2021-03-31 20:46:44.000,1.17.42,793.0,111,37,True,conda-forge/boto3,boto3,4269.0,,49722199.0,128560.0,105470.0,https://pypi.org/project/boto3,2021-03-31 20:46:44.000,23090.0,49627907.0,https://anaconda.org/conda-forge/boto3,2021-04-01 01:35:26.694,4997502.0,1.0,,,,
9,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2021-04-01 14:35:32.000,2021-04-01 14:33:11.000,558,165.0,5624.0,3571,2021-03-31 00:28:57.000,1.4.4,216.0,465,37,True,conda-forge/sqlalchemy,SQLAlchemy,13791.0,3085.0,7883171.0,336248.0,252542.0,https://pypi.org/project/SQLAlchemy,2021-03-31 00:28:57.000,83706.0,7815706.0,https://anaconda.org/conda-forge/sqlalchemy,2021-03-31 14:21:58.258,3432492.0,1.0,1.0,,,
