,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,updated_github_id,labels
0,caer,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-06-17 14:04:59.000,2021-06-05 15:52:33.000,678,5.0,13.0,5334,2021-06-05 15:52:41.000,2021.06.03,25.0,19,0,True,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-06-10 15:06:57.000,2021-06-05 15:46:18.000,83,,2.0,1255,2021-06-05 15:46:28.000,2021.06.03,17.0,6,0,True,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-06-17 14:16:58.000,2021-06-05 15:47:16.000,15,,5.0,289,2021-06-05 15:47:27.000,2021.06.03,14.0,1,0,True,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-06-10 15:06:57.000,2021-06-05 15:46:18.000,83,,2.0,1255,2021-06-05 15:46:28.000,2021.06.03,17.0,6,0,True,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-06-17 14:04:59.000,2021-06-05 15:52:33.000,678,5.0,13.0,5334,2021-06-05 15:52:41.000,2021.06.03,25.0,19,0,True,,,,,,,,,,,,,,,,,,,
5,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2021-06-17 05:53:27.000,2021-06-15 16:38:29.000,12863,1243.0,3393.0,48454,2021-06-08 14:24:44.000,3.17.3,89.0,838,41,True,conda-forge/protobuf,protobuf,8391.0,25849039.0,58271616.0,168808.0,143868.0,https://pypi.org/project/protobuf,2021-06-08 15:03:36.000,24940.0,57875264.0,https://anaconda.org/conda-forge/protobuf,2021-06-03 03:53:30.974,5191737.0,1.0,,,,
6,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-06-17 00:13:42.074,2021-06-16 18:24:16.000,2678,713.0,3016.0,11139,2021-06-15 20:45:32.000,1.19.95,1253.0,344,39,True,conda-forge/awscli,awscli,10434.0,566.0,86813676.0,27603.0,22183.0,https://pypi.org/project/awscli,2021-06-16 19:41:29.000,5420.0,86684074.0,https://anaconda.org/conda-forge/awscli,2021-06-17 00:13:42.074,7645502.0,1.0,,,,
7,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2021-06-17 08:01:40.000,2021-06-16 17:15:16.000,616,177.0,5876.0,3864,2021-06-10 18:20:20.000,rel_1_4_18,230.0,479,38,True,conda-forge/sqlalchemy,SQLAlchemy,14136.0,31169.0,26698741.0,362011.0,278305.0,https://pypi.org/project/SQLAlchemy,2021-06-10 18:20:11.000,83706.0,26621110.0,https://anaconda.org/conda-forge/sqlalchemy,2021-06-10 20:04:27.933,4035806.0,1.0,,,,
8,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2021-06-11 14:53:13.000,2021-06-06 18:26:43.000,1115,63.0,1105.0,11014,2021-05-19 21:02:51.000,8.0.1,42.0,299,37,True,conda-forge/click,click,,,56830899.0,650247.0,540785.0,https://pypi.org/project/click,2021-05-19 21:00:32.000,109462.0,56696990.0,https://anaconda.org/conda-forge/click,2021-05-20 09:52:42.907,7900678.0,1.0,,,,
9,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2021-06-16 23:00:35.916,2021-06-16 18:24:14.000,1379,300.0,2089.0,6449,2021-06-16 19:41:22.000,1.17.96,847.0,117,37,True,conda-forge/boto3,boto3,4499.0,,123338200.0,142214.0,119124.0,https://pypi.org/project/boto3,2021-06-16 19:41:22.000,23090.0,123234009.0,https://anaconda.org/conda-forge/boto3,2021-06-16 23:00:35.916,5730506.0,1.0,,,,
