,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-09-16 14:04:55.000000,2021-09-01 13:57:57.000000,752.0,19.0,5722.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-09-09 15:22:45.000000,2021-09-01 14:02:18.000000,88.0,2.0,1324.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000000,2021-09-16 14:13:08.000000,2021-09-01 16:15:49.000000,17.0,5.0,339.0,2021-09-01 16:15:57.000000,2021.08.26,19.0,2.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-09-09 15:22:45.000000,2021-09-01 14:02:18.000000,88.0,2.0,1324.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-09-16 14:04:55.000000,2021-09-01 13:57:57.000000,752.0,19.0,5722.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000000,2021-07-07 18:19:13.000000,2021-07-07 18:19:12.000000,5986.0,62.0,29219.0,,,,118.0,12.0,0,True,788.0,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-09-16 14:04:55.000000,2021-09-01 13:57:57.000000,752.0,19.0,5722.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
7,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000000,2021-09-16 07:16:39.889000,2021-09-15 19:10:58.000000,13224.0,3625.0,50729.0,2021-09-15 17:08:06.000000,3.18.0,92.0,859.0,1134.0,41,True,8587.0,conda-forge/protobuf,protobuf,28323494.0,64135127.0,187394.0,162454.0,https://pypi.org/project/protobuf,2021-09-15 17:47:51.000000,24940.0,63712976.0,https://anaconda.org/conda-forge/protobuf,2021-09-16 07:16:39.889000,5958588.0,1.0,,,,,,,,,,
8,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000000,2021-09-15 19:29:52.000000,2021-09-15 19:29:52.000000,2811.0,3123.0,11434.0,2021-09-13 19:12:17.000000,1.20.41,1312.0,351.0,701.0,39,True,10708.0,conda-forge/awscli,awscli,573.0,112861266.0,29220.0,23800.0,https://pypi.org/project/awscli,2021-09-14 19:13:22.000000,5420.0,112720295.0,https://anaconda.org/conda-forge/awscli,2021-09-15 08:33:32.885000,8739254.0,1.0,,,,,,,,,,
9,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207000,2021-09-16 01:58:27.000000,2021-09-15 20:56:38.000000,687.0,6034.0,4256.0,2021-08-18 17:17:09.000000,rel_1_4_23,235.0,499.0,190.0,38,True,14368.0,conda-forge/sqlalchemy,SQLAlchemy,31574.0,37375183.0,389271.0,305565.0,https://pypi.org/project/SQLAlchemy,2021-08-18 17:16:59.000000,83706.0,37288384.0,https://anaconda.org/conda-forge/sqlalchemy,2021-08-18 19:52:03.633000,4787142.0,1.0,,,,,,,,,,
