,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-10-14 14:05:00.000,2021-09-01 13:57:57.000,766.0,19.0,5815.0,2021-09-01 13:58:05.000,2021.08.26,31.0,20.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-10-07 15:20:32.000,2021-09-01 14:02:18.000,91.0,2.0,1342.0,2021-09-01 14:02:45.000,2021.08.26,22.0,6.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2021-10-14 14:12:52.000,2021-09-01 16:15:49.000,18.0,5.0,351.0,2021-09-01 16:15:57.000,2021.08.26,19.0,2.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-10-07 15:20:32.000,2021-09-01 14:02:18.000,91.0,2.0,1342.0,2021-09-01 14:02:45.000,2021.08.26,22.0,6.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-10-14 14:05:00.000,2021-09-01 13:57:57.000,766.0,19.0,5815.0,2021-09-01 13:58:05.000,2021.08.26,31.0,20.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000,2021-07-07 18:19:13.000,2021-07-07 18:19:12.000,6007.0,62.0,29402.0,,,,118.0,12.0,0,True,788.0,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2021-10-14 14:05:00.000,2021-09-01 13:57:57.000,766.0,19.0,5815.0,2021-09-01 13:58:05.000,2021.08.26,31.0,20.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
7,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2021-10-14 11:48:47.000,2021-10-13 21:19:42.000,13305.0,3765.0,51165.0,2021-10-05 20:27:34.000,3.18.1,93.0,881.0,965.0,41,True,8751.0,conda-forge/protobuf,protobuf,29182172.0,72994820.0,193072.0,168132.0,https://pypi.org/project/protobuf,2021-10-05 20:27:34.000,24940.0,72564105.0,https://anaconda.org/conda-forge/protobuf,2021-10-06 12:02:46.661,6214443.0,1.0,,,,,,,,
8,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2021-10-14 12:49:11.664,2021-10-13 18:09:06.000,2855.0,3183.0,11544.0,2021-10-13 19:11:12.000,1.20.61,1331.0,353.0,670.0,39,True,10807.0,conda-forge/awscli,awscli,573.0,132434503.0,29760.0,24340.0,https://pypi.org/project/awscli,2021-10-13 19:11:12.000,5420.0,132290924.0,https://anaconda.org/conda-forge/awscli,2021-10-14 12:49:11.664,9044511.0,1.0,,,,,,,,
9,Faker,joke2k/faker,Faker is a Python package that generates fake data for you.,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000,2021-10-14 13:54:36.000,2021-10-14 13:54:36.000,1510.0,388.0,13138.0,2021-10-11 19:39:09.000,9.3.1,175.0,427.0,172.0,37,True,2767.0,conda-forge/faker,Faker,,4719303.0,45040.0,40328.0,https://pypi.org/project/Faker,2021-10-11 19:39:03.000,4712.0,4710150.0,https://anaconda.org/conda-forge/faker,2021-10-11 21:20:28.629,503459.0,1.0,,,,,,,,
10,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2021-10-14 08:42:22.924,2021-10-13 18:09:14.000,1462.0,2209.0,6754.0,2021-10-13 19:11:26.000,1.18.61,924.0,125.0,282.0,37,True,4846.0,conda-forge/boto3,boto3,,177688457.0,160606.0,137516.0,https://pypi.org/project/boto3,2021-10-13 19:11:26.000,23090.0,177569284.0,https://anaconda.org/conda-forge/boto3,2021-10-14 08:42:22.924,7031249.0,1.0,,,,,,,,
11,docker,docker/docker-py,A Python library for the Docker Engine API.,,infrastructure,https://github.com/docker/docker-py,https://github.com/docker/docker-py,Apache-2.0,2013-05-23 16:15:07.000,2021-10-14 08:46:18.000,2021-10-14 08:46:17.000,1479.0,1083.0,5428.0,2021-10-07 22:56:32.000,5.0.3,76.0,395.0,445.0,37,True,3211.0,conda-forge/docker-py,docker,,36852490.0,29334.0,24966.0,https://pypi.org/project/docker,2021-10-07 22:54:50.000,4368.0,36827308.0,https://anaconda.org/conda-forge/docker-py,2021-10-08 05:35:18.040,1586499.0,1.0,,,,,,,,
