,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-10-21 14:05:20.000000,2021-09-01 13:57:57.000000,766.0,5.0,19.0,5835.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-14 15:24:36.000000,2021-09-01 14:02:18.000000,91.0,4.0,2.0,1350.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000000,2021-10-21 14:12:58.000000,2021-09-01 16:15:49.000000,19.0,1.0,5.0,355.0,2021-09-01 16:15:57.000000,2021.08.26,19.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-14 15:24:36.000000,2021-09-01 14:02:18.000000,91.0,4.0,2.0,1350.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-10-21 14:05:20.000000,2021-09-01 13:57:57.000000,766.0,5.0,19.0,5835.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000000,2021-07-07 18:19:13.000000,2021-07-07 18:19:12.000000,6007.0,12.0,62.0,29443.0,,,,118.0,0,True,788.0,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-10-21 14:05:20.000000,2021-09-01 13:57:57.000000,766.0,5.0,19.0,5835.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
7,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000000,2021-10-21 09:12:55.605000,2021-10-20 18:07:50.000000,2874.0,669.0,3190.0,11575.0,2021-10-20 19:09:44.000000,1.21.0,1336.0,353.0,39,True,10828.0,conda-forge/awscli,awscli,575.0,134077539.0,29882.0,24462.0,https://pypi.org/project/awscli,2021-10-20 19:09:44.000000,5420.0,133932585.0,https://anaconda.org/conda-forge/awscli,2021-10-21 09:12:55.605000,9131114.0,1.0,,,,,,,,,,
8,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000000,2021-10-21 13:47:18.000000,2021-10-20 21:51:07.000000,13331.0,935.0,3778.0,51269.0,2021-10-20 21:29:07.000000,3.19.0,96.0,892.0,38,True,8782.0,conda-forge/protobuf,protobuf,29394270.0,434254.0,194551.0,169611.0,https://pypi.org/project/protobuf,2021-10-20 21:29:07.000000,24940.0,,https://anaconda.org/conda-forge/protobuf,2021-10-06 12:02:46.661000,6287375.0,1.0,,,,,,,,,,
9,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207000,2021-10-20 22:01:14.000000,2021-10-20 21:15:37.000000,721.0,186.0,6107.0,4384.0,2021-10-19 21:07:57.000000,rel_1_4_26,238.0,511.0,38,True,14464.0,conda-forge/sqlalchemy,SQLAlchemy,31944.0,46262952.0,399671.0,315965.0,https://pypi.org/project/SQLAlchemy,2021-10-19 21:07:46.000000,83706.0,46170803.0,https://anaconda.org/conda-forge/sqlalchemy,2021-10-20 05:03:26.369000,5179730.0,1.0,,,,,,,,,,
10,Faker,joke2k/faker,Faker is a Python package that generates fake data for you.,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-10-20 23:00:27.435000,2021-10-20 21:41:29.000000,1514.0,171.0,391.0,13179.0,2021-10-20 19:12:16.000000,9.5.1,178.0,428.0,37,True,2778.0,conda-forge/faker,Faker,,4766822.0,45568.0,40856.0,https://pypi.org/project/Faker,2021-10-20 19:12:06.000000,4712.0,4757601.0,https://anaconda.org/conda-forge/faker,2021-10-20 23:00:27.435000,507171.0,1.0,,,,,,,,,,
11,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000000,2021-10-14 21:16:36.000000,2021-10-10 18:08:13.000000,1177.0,72.0,1182.0,11504.0,2021-10-10 18:08:47.000000,8.0.3,44.0,312.0,37,True,,conda-forge/click,click,,102986301.0,738394.0,628932.0,https://pypi.org/project/click,2021-10-10 18:07:30.000000,109462.0,102827757.0,https://anaconda.org/conda-forge/click,2021-10-13 01:36:45.240000,9988332.0,1.0,,,,,,,,,,
12,docker,docker/docker-py,A Python library for the Docker Engine API.,,infrastructure,https://github.com/docker/docker-py,https://github.com/docker/docker-py,Apache-2.0,2013-05-23 16:15:07.000000,2021-10-18 21:26:01.000000,2021-10-14 17:25:22.000000,1479.0,445.0,1084.0,5433.0,2021-10-07 22:56:32.000000,5.0.3,76.0,396.0,37,True,3217.0,conda-forge/docker-py,docker,,39415848.0,29553.0,25185.0,https://pypi.org/project/docker,2021-10-07 22:54:50.000000,4368.0,39390266.0,https://anaconda.org/conda-forge/docker-py,2021-10-08 05:35:18.040000,1611711.0,1.0,,,,,,,,,,
13,Pygments,pygments/pygments,Pygments is a generic syntax highlighter written in Python.,,others,https://github.com/pygments/pygments,https://github.com/pygments/pygments,BSD-2-Clause,2016-04-12 07:50:11.354000,2021-10-21 02:18:11.000000,2021-10-17 07:06:40.000000,718.0,352.0,1194.0,752.0,2021-08-15 10:57:14.000000,2.10.0,51.0,654.0,36,True,5654.0,conda-forge/pygments,pygments,,35469276.0,326179.0,258413.0,https://pypi.org/project/pygments,2021-08-15 10:53:28.000000,67766.0,35339716.0,https://anaconda.org/conda-forge/pygments,2021-08-16 13:08:39.439000,8550998.0,1.0,,,,,,,,,,
