,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-11-04 14:05:03.000000,2021-09-01 13:57:57.000000,766.0,5.0,19.0,5865.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-28 15:30:53.000000,2021-09-01 14:02:18.000000,91.0,4.0,2.0,1356.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000000,2021-11-04 14:12:35.000000,2021-09-01 16:15:49.000000,19.0,1.0,5.0,365.0,2021-09-01 16:15:57.000000,2021.08.26,19.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-28 15:30:53.000000,2021-09-01 14:02:18.000000,91.0,4.0,2.0,1356.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-11-04 14:05:03.000000,2021-09-01 13:57:57.000000,766.0,5.0,19.0,5865.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000000,2021-07-07 18:19:13.000000,2021-07-07 18:19:12.000000,6007.0,12.0,62.0,29545.0,,,,118.0,0,True,788.0,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2021-11-04 14:05:03.000000,2021-09-01 13:57:57.000000,766.0,5.0,19.0,5865.0,2021-09-01 13:58:05.000000,2021.08.26,31.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
7,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000000,2021-11-04 12:56:18.801000,2021-11-03 20:28:12.000000,2894.0,648.0,3226.0,11632.0,2021-11-03 19:10:22.000000,1.21.10,1346.0,356.0,39,True,10875.0,conda-forge/awscli,awscli,596.0,123551102.0,30097.0,24677.0,https://pypi.org/project/awscli,2021-11-03 19:10:22.000000,5420.0,123406023.0,https://anaconda.org/conda-forge/awscli,2021-11-04 12:56:18.801000,9284047.0,1.0,,,,,,,,,,
8,protobuf,protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000000,2021-11-04 14:26:20.000000,2021-11-04 14:16:02.000000,13378.0,940.0,3791.0,51497.0,2021-10-29 00:39:43.000000,3.19.1,97.0,900.0,38,True,8834.0,conda-forge/protobuf,protobuf,29833565.0,436118.0,197690.0,172750.0,https://pypi.org/project/protobuf,2021-10-29 00:39:43.000000,24940.0,,https://anaconda.org/conda-forge/protobuf,2021-11-02 11:21:23.749000,6431110.0,1.0,,,,,,,,,,
9,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000000,2021-11-03 23:55:31.759000,2021-11-03 18:07:38.000000,1468.0,278.0,2229.0,6813.0,2021-11-03 19:10:30.000000,1.19.10,939.0,125.0,38,True,4912.0,conda-forge/boto3,boto3,,289551257.0,163819.0,140729.0,https://pypi.org/project/boto3,2021-11-03 19:10:30.000000,23090.0,289428931.0,https://anaconda.org/conda-forge/boto3,2021-11-03 23:55:31.759000,7339586.0,1.0,,,,,,,,,,
