,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,updated_github_id,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2022-01-11 04:15:06.000000,2022-01-11 04:15:06.000000,195.0,17.0,804,233.0,96.0,5.0,20.0,6163,2022-01-09 17:30:49.000000,2022.01.09,37.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2022-01-11 04:16:58.000000,2022-01-11 04:16:58.000000,100.0,18.0,91,49.0,65.0,4.0,2.0,1406,2022-01-06 18:53:44.000000,2022.01.06,29.0,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000000,2022-01-11 04:18:04.000000,2022-01-11 04:18:04.000000,85.0,17.0,19,16.0,59.0,1.0,5.0,386,2022-01-06 18:53:07.000000,2022.01.06,26.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2022-01-11 04:16:58.000000,2022-01-11 04:16:58.000000,100.0,18.0,91,49.0,65.0,4.0,2.0,1406,2022-01-06 18:53:44.000000,2022.01.06,29.0,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2022-01-11 04:15:06.000000,2022-01-11 04:15:06.000000,195.0,17.0,804,233.0,96.0,5.0,20.0,6163,2022-01-09 17:30:49.000000,2022.01.09,37.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000000,2021-12-23 16:35:09.000000,2021-12-07 20:49:02.000000,793.0,5.0,6007,1654.0,307.0,12.0,63.0,29999,,,,119.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000000,2022-01-11 04:15:06.000000,2022-01-11 04:15:06.000000,195.0,17.0,804,233.0,96.0,5.0,20.0,6163,2022-01-09 17:30:49.000000,2022.01.09,37.0,20.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
7,protobuf,protocolbuffers/protobuf,Protocol Buffers - Googles data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000000,2022-01-13 01:50:19.000000,2022-01-12 20:31:20.000000,8949.0,175.0,13622,2084.0,4569.0,1017.0,3837.0,52581,2022-01-11 17:17:30.000000,3.19.3,99.0,910.0,48,True,conda-forge/protobuf,protobuf,31884291.0,70551069.0,201650.0,187423.0,https://pypi.org/project/protobuf,2022-01-11 04:09:21.000000,14227.0,70094700.0,https://anaconda.org/conda-forge/protobuf,2022-01-12 13:41:59.499000,6966505.0,1.0,-1.0,,,,,,,,,,
8,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000000,2022-01-13 00:50:18.000000,2022-01-12 22:27:05.000000,52238.0,221.0,21431,1987.0,46500.0,1581.0,28940.0,51313,2022-01-12 20:29:53.000000,5.2.0,288.0,6503.0,48,True,conda-forge/ansible,ansible,,4426332.0,23600.0,19549.0,https://pypi.org/project/ansible,2022-01-12 20:29:53.000000,4051.0,4417128.0,https://anaconda.org/conda-forge/ansible,2022-01-13 00:48:27.054000,487825.0,1.0,,,,,,,,,,,
9,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000000,2022-01-13 06:26:50.000000,2022-01-12 19:07:35.000000,9868.0,178.0,3012,573.0,2822.0,619.0,3316.0,11883,2022-01-12 20:04:11.000000,1.22.34,1383.0,359.0,45,True,conda-forge/awscli,awscli,711.0,118055545.0,28849.0,25871.0,https://pypi.org/project/awscli,2022-01-12 20:04:11.000000,2978.0,117904794.0,https://anaconda.org/conda-forge/awscli,2022-01-13 05:53:15.099000,9948411.0,1.0,,,,,,,,,,,
10,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000000,2022-01-10 17:53:51.000000,2021-12-27 01:21:26.000000,2063.0,36.0,1177,185.0,885.0,72.0,1218.0,11855,2021-10-10 18:08:47.000000,8.0.3,44.0,316.0,45,True,conda-forge/click,click,,78683966.0,759362.0,691184.0,https://pypi.org/project/click,2021-10-10 18:07:30.000000,68178.0,78509759.0,https://anaconda.org/conda-forge/click,2021-11-02 05:24:47.889000,11497686.0,1.0,,,,,,,,,,,
