,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,pypi_monthly_downloads,trending,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-02-02 15:54:18.000,2022-02-02 14:33:56,204.0,26.0,805,234.0,98.0,21.0,6212,2022-01-13 18:07:49.000,2022.01.13,38.0,20.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-02 14:26:52.000,2022-02-02 14:26:52,110.0,28.0,92,49.0,69.0,2.0,1420,2022-02-02 14:26:59.000,2022.01.27,32.0,7.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2022-02-02 14:27:25.000,2022-02-02 14:27:24,95.0,27.0,20,17.0,63.0,5.0,405,2022-02-02 14:27:30.000,2022.01.27,30.0,2.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-02 14:26:52.000,2022-02-02 14:26:52,110.0,28.0,92,49.0,69.0,2.0,1420,2022-02-02 14:26:59.000,2022.01.27,32.0,7.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-02-02 15:54:18.000,2022-02-02 14:33:56,204.0,26.0,805,234.0,98.0,21.0,6212,2022-01-13 18:07:49.000,2022.01.13,38.0,20.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000,2021-12-23 16:35:09.000,2021-12-07 20:49:02,793.0,5.0,6007,1658.0,307.0,63.0,30166,,,,119.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-02-03 14:05:06.000,2022-02-02 14:33:56,204.0,26.0,805,234.0,98.0,21.0,6212,2022-01-13 18:07:49.000,2022.01.13,38.0,20.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,protobuf,protocolbuffers/protobuf,Protocol Buffers - Googles data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2022-02-03 01:09:56.000,2022-02-02 23:10:15,9010.0,174.0,13689,2085.0,4598.0,3883.0,52871,2022-01-28 17:29:22.000,3.19.4,100.0,918.0,995.0,47,True,protobuf,conda-forge/protobuf,google-protobuf,32567459.0,4053040.0,209008.0,192115.0,https://pypi.org/project/protobuf,2022-01-28 17:29:22.000,14268.0,https://anaconda.org/conda-forge/protobuf,2022-02-01 04:48:11.005,7132031.0,https://www.npmjs.com/package/google-protobuf,2020-07-21 05:32:24.522,2625.0,3592125.0,1.0,,,,,,,,,,,
8,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000,2022-02-03 13:46:29.000,2022-02-03 02:43:03,52299.0,215.0,21514,1981.0,46621.0,29013.0,52005,2022-02-01 17:29:38.000,5.3.0,289.0,6514.0,1541.0,45,True,ansible,conda-forge/ansible,,,9193.0,23899.0,19848.0,https://pypi.org/project/ansible,2022-02-01 17:29:38.000,4051.0,https://anaconda.org/conda-forge/ansible,2022-02-01 21:09:54.236,496462.0,,,,,1.0,,,,,,,,,,,
9,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2022-02-03 09:47:54.000,2022-01-13 22:49:06,2073.0,36.0,1177,185.0,889.0,1221.0,11971,2021-10-10 18:08:47.000,8.0.3,44.0,318.0,72.0,45,True,click,conda-forge/click,,,92371186.0,776320.0,708142.0,https://pypi.org/project/click,2021-10-10 18:07:30.000,68178.0,https://anaconda.org/conda-forge/click,2021-11-02 05:24:47.889,11863879.0,,,,,1.0,92194114.0,,,,,,,,,,
10,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2022-02-03 02:49:17.822,2022-02-02 19:12:53,4126.0,150.0,1505,238.0,586.0,2293.0,6994,2022-02-02 20:11:30.000,1.20.47,988.0,127.0,275.0,44,True,boto3,conda-forge/boto3,,,200242644.0,169764.0,154021.0,https://pypi.org/project/boto3,2022-02-02 20:11:30.000,15743.0,https://anaconda.org/conda-forge/boto3,2022-02-03 02:49:17.822,8323513.0,,,,,1.0,200110525.0,,,,,,,,,,
11,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2022-02-02 19:48:22.000,2022-02-02 19:46:40,14820.0,246.0,787,83.0,430.0,6265.0,4857,2022-01-21 01:38:33.000,rel_1_4_31,243.0,523.0,212.0,44,True,SQLAlchemy,conda-forge/sqlalchemy,,35984.0,47349835.0,393098.0,347972.0,https://pypi.org/project/SQLAlchemy,2022-01-21 01:38:17.000,45126.0,https://anaconda.org/conda-forge/sqlalchemy,2022-01-21 11:08:12.227,6173319.0,,,,,1.0,47247394.0,,,,,,,,,,
12,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000,2022-02-03 12:07:38.000,2022-01-31 04:22:59,8857.0,193.0,958,119.0,4966.0,1811.0,4563,2021-12-14 22:11:02.000,36.0.1,96.0,249.0,54.0,44,True,cryptography,conda-forge/cryptography,,,79401608.0,257206.0,237507.0,https://pypi.org/project/cryptography,2021-12-14 22:11:02.000,19699.0,https://anaconda.org/conda-forge/cryptography,2021-12-17 01:16:22.583,18588226.0,,,,,1.0,79069676.0,,,,,,,,,,
13,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2022-02-03 08:37:44.132,2022-02-02 22:20:22,9917.0,170.0,3038,574.0,2835.0,3335.0,11959,2022-02-02 20:11:22.000,1.22.47,1396.0,360.0,624.0,43,True,awscli,conda-forge/awscli,,745.0,116778696.0,2981.0,1.0,https://pypi.org/project/awscli,2022-02-02 20:11:22.000,2980.0,https://anaconda.org/conda-forge/awscli,2022-02-03 08:37:44.132,10110968.0,,,,,1.0,116627768.0,,,,,,,,,,
14,redis,redis/redis-py,Redis Python Client.,,db-clients,https://github.com/redis/redis-py,https://github.com/redis/redis-py,MIT,2009-11-06 10:22:26.000,2022-02-03 14:28:51.000,2022-02-03 12:37:26,1832.0,149.0,2086,337.0,901.0,961.0,9997,2022-01-27 11:28:05.000,4.1.2,79.0,293.0,101.0,43,True,redis,conda-forge/redis-py,,,19618413.0,158923.0,132305.0,https://pypi.org/project/redis,2022-01-27 11:28:05.000,26618.0,https://anaconda.org/conda-forge/redis-py,2022-01-27 14:58:19.676,591593.0,,,,,1.0,19609584.0,,,,,,,,,,
