,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-02-11 23:20:20.000,2022-02-11 23:20:20,208.0,26.0,814,234.0,100.0,21.0,6249,2022-02-11 23:19:05.000,2022.02.10,39.0,21.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-10 21:30:10.000,2022-02-10 21:30:10,114.0,28.0,95,49.0,71.0,2.0,1433,2022-02-10 21:30:25.000,2022.02.10,33.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2022-02-11 23:18:02.000,2022-02-11 23:18:02,97.0,26.0,21,17.0,65.0,5.0,412,2022-02-10 15:21:02.000,2022.02.10,31.0,2.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-10 21:30:10.000,2022-02-10 21:30:10,114.0,28.0,95,49.0,71.0,2.0,1433,2022-02-10 21:30:25.000,2022.02.10,33.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-02-11 23:20:20.000,2022-02-11 23:20:20,208.0,26.0,814,234.0,100.0,21.0,6249,2022-02-11 23:19:05.000,2022.02.10,39.0,21.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000,2022-02-17 08:05:11.000,2022-02-08 19:10:48,804.0,16.0,6007,1650.0,310.0,64.0,30269,,,,121.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-02-11 23:20:20.000,2022-02-11 23:20:20,208.0,26.0,814,234.0,100.0,21.0,6250,2022-02-11 23:19:05.000,2022.02.10,39.0,21.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,protobuf,protocolbuffers/protobuf,Protocol Buffers - Googles data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2022-02-17 05:26:32.000,2022-02-16 18:02:47,9076.0,213.0,13711,2082.0,4621.0,3900.0,53080,2022-01-28 17:29:22.000,3.19.4,100.0,924.0,966.0,49,True,protobuf,conda-forge/protobuf,google-protobuf,33046164.0,74243826.0,212730.0,195837.0,https://pypi.org/project/protobuf,2022-01-28 17:29:22.000,14268.0,69886305.0,https://anaconda.org/conda-forge/protobuf,2022-02-01 04:48:11.005,7245186.0,https://www.npmjs.com/package/google-protobuf,2020-07-21 05:32:24.522,2625.0,3889715.0,1.0,,,,,,,,,,
8,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000,2022-02-17 09:29:55.000,2022-02-17 09:29:54,52354.0,235.0,21534,1982.0,46694.0,29080.0,52162,2022-02-01 17:29:38.000,5.3.0,289.0,6522.0,1468.0,48,True,ansible,conda-forge/ansible,,,5038884.0,24185.0,20133.0,https://pypi.org/project/ansible,2022-02-01 17:29:38.000,4052.0,5029587.0,https://anaconda.org/conda-forge/ansible,2022-02-01 21:09:54.236,502084.0,,,,,1.0,,,,,,,,,,
9,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2022-02-07 21:19:43.000,2022-01-13 22:49:06,2073.0,29.0,1179,185.0,891.0,1225.0,12041,2021-10-10 18:08:47.000,8.0.3,44.0,318.0,72.0,45,True,click,conda-forge/click,,,91317943.0,789876.0,721698.0,https://pypi.org/project/click,2021-10-10 18:07:30.000,68178.0,91136933.0,https://anaconda.org/conda-forge/click,2021-11-02 05:24:47.889,12127732.0,,,,,1.0,,,,,,,,,,
