,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,conda_dependent_project_count,labels,updated_github_id,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
0,best-of-ml-python - Computer Vision,ml-tooling/best-of-ml-python,Collection of computer vision and image processing libraries.,True,computer-vision,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-03-03 15:22:55.000,2022-02-19 17:47:29,210.0,24.0,844,236.0,103.0,5.0,21.0,6359,2022-02-19 17:47:37.000,2022.02.17,40.0,21.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web UI,ml-tooling/best-of-web-python,Collection of libraries to implement web-based UIs.,True,gui-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-03 16:36:35.000,2022-02-19 17:48:44,116.0,26.0,99,48.0,74.0,4.0,2.0,1453,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python-dev,ml-tooling/best-of-python-dev,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,dev-utils,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2022-03-03 14:44:38.000,2022-02-19 17:48:01,99.0,24.0,21,17.0,68.0,1.0,5.0,422,2022-02-19 17:48:09.000,2022.02.17,32.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-web-python,ml-tooling/best-of-web-python,A ranked list of awesome python libraries for web development. Updated weekly.,True,web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-03 16:36:35.000,2022-02-19 17:48:44,116.0,26.0,99,48.0,74.0,4.0,2.0,1453,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-ml-python,ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,True,machine-learning,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-03-03 15:22:55.000,2022-02-19 17:47:29,210.0,24.0,844,236.0,103.0,5.0,21.0,6359,2022-02-19 17:47:37.000,2022.02.17,40.0,21.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,python-patterns,faif/python-patterns,Collection of design patterns/idioms in Python.,True,algorithms,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns,,2012-06-06 21:02:35.000,2022-02-19 17:46:59.000,2022-02-19 17:46:58,806.0,13.0,6007,1658.0,310.0,12.0,65.0,30799,,,,121.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,best-of-ml-python - NLP,ml-tooling/best-of-ml-python,Collection of text processing and NLP libraries.,True,text,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python#text-data--nlp,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2022-03-03 15:22:55.000,2022-02-19 17:47:29,210.0,24.0,844,236.0,103.0,5.0,21.0,6360,2022-02-19 17:47:37.000,2022.02.17,40.0,21.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,protobuf,protocolbuffers/protobuf,Protocol Buffers - Googles data interchange format.,,serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,2014-08-26 15:52:15.000,2022-03-10 08:02:53.000,2022-03-09 22:55:55,9148.0,251.0,13806,2082.0,4673.0,957.0,3954.0,53363,2022-01-28 17:29:22.000,3.19.4,101.0,932.0,49,True,protobuf,conda-forge/protobuf,google-protobuf,33743428.0,76246546.0,218813.0,201878.0,https://pypi.org/project/protobuf,2022-03-04 20:31:01.000,14310.0,71809322.0,https://anaconda.org/conda-forge/protobuf,2022-02-01 04:48:11.005,7432115.0,https://www.npmjs.com/package/google-protobuf,2020-07-21 05:32:24.522,2625.0,3964609.0,1.0,,,,,,,,,,,
8,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000,2022-03-10 04:24:19.000,2022-03-09 21:59:29,52434.0,266.0,21616,1978.0,46839.0,1477.0,29160.0,52372,2022-02-22 20:37:58.000,5.4.0,290.0,6529.0,48,True,ansible,conda-forge/ansible,,,5040180.0,24541.0,20488.0,https://pypi.org/project/ansible,2022-02-22 20:37:58.000,4053.0,5030860.0,https://anaconda.org/conda-forge/ansible,2022-02-23 01:04:08.295,512605.0,,,,,1.0,,,,,,,,,,,
9,click,pallets/click,Python composable command line interface toolkit.,,cli-helpers,https://github.com/pallets/click,https://github.com/pallets/click,BSD-3-Clause,2014-04-24 09:52:19.000,2022-03-10 11:57:03.000,2022-03-01 16:48:11,2131.0,87.0,1219,182.0,899.0,86.0,1248.0,12152,2022-02-18 20:32:53.000,8.0.4,45.0,326.0,46,True,click,conda-forge/click,,,97141580.0,811031.0,742395.0,https://pypi.org/project/click,2022-02-18 20:31:27.000,68636.0,96956496.0,https://anaconda.org/conda-forge/click,2022-02-19 02:52:22.991,12585732.0,,,,,1.0,,,,,,,,,,,
10,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2022-03-09 15:37:33.000,2022-03-09 15:37:00,14910.0,239.0,816,85.0,443.0,209.0,6327.0,5025,2022-03-06 22:45:43.000,1.4.32,244.0,531.0,45,True,SQLAlchemy,conda-forge/sqlalchemy,,36153.0,43891127.0,406767.0,361595.0,https://pypi.org/project/SQLAlchemy,2022-03-06 22:45:43.000,45172.0,43783700.0,https://anaconda.org/conda-forge/sqlalchemy,2022-03-07 01:30:05.140,6585801.0,,,,,1.0,,,,,,,,,,,
11,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000,2022-03-10 08:18:41.420,2022-03-09 20:46:46,4206.0,156.0,1506,242.0,601.0,278.0,2331.0,7080,2022-03-08 20:06:10.000,1.21.15,1009.0,129.0,44,True,boto3,conda-forge/boto3,,,247817869.0,177379.0,161520.0,https://pypi.org/project/boto3,2022-03-08 20:06:10.000,15859.0,247681564.0,https://anaconda.org/conda-forge/boto3,2022-03-10 08:18:41.420,8723567.0,,,,,1.0,,,,,,,,,,,
12,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000,2022-03-10 02:21:21.116,2022-03-09 19:11:05,8590.0,201.0,880,65.0,1761.0,185.0,738.0,1108,2022-03-08 20:05:51.000,1.24.15,1405.0,172.0,44,True,botocore,conda-forge/botocore,,,215018984.0,128711.0,120695.0,https://pypi.org/project/botocore,2022-03-08 20:05:51.000,8016.0,214844058.0,https://anaconda.org/conda-forge/botocore,2022-03-10 02:21:21.116,11895022.0,,,,,1.0,2.0,,,,,,,,,,
13,awscli,aws/aws-cli,Universal Command Line Interface for Amazon Web Services.,,infrastructure,https://github.com/aws/aws-cli,https://github.com/aws/aws-cli,Apache-2.0,2012-11-20 16:07:36.000,2022-03-10 09:28:09.962,2022-03-09 19:11:14,10004.0,176.0,3105,576.0,2868.0,623.0,3379.0,12098,2022-03-09 20:08:19.000,1.22.71,1420.0,365.0,43,True,awscli,conda-forge/awscli,,782.0,121956825.0,2985.0,1.0,https://pypi.org/project/awscli,2022-03-09 20:08:19.000,2984.0,121803022.0,https://anaconda.org/conda-forge/awscli,2022-03-10 09:28:09.962,10457330.0,,,,,2.0,,,,,,,,,,,
14,redis,redis/redis-py,Redis Python Client.,,db-clients,https://github.com/redis/redis-py,https://github.com/redis/redis-py,MIT,2009-11-06 10:22:26.000,2022-03-10 10:35:37.000,2022-03-10 08:02:40,1880.0,128.0,2108,337.0,954.0,125.0,987.0,10080,2022-02-16 09:27:04.000,4.1.4,83.0,305.0,43,True,redis,conda-forge/redis-py,,,20984158.0,163059.0,136392.0,https://pypi.org/project/redis,2022-03-08 08:55:11.000,26667.0,20974801.0,https://anaconda.org/conda-forge/redis-py,2022-02-16 11:23:23.887,636318.0,,,,,1.0,,,,,,,,,,,
15,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000,2022-03-10 12:02:15.000,2022-03-09 01:19:28,8912.0,155.0,958,117.0,5033.0,54.0,1850.0,4640,2021-12-14 22:11:02.000,36.0.1,96.0,253.0,43,True,cryptography,conda-forge/cryptography,,,91515168.0,268297.0,248598.0,https://pypi.org/project/cryptography,2021-12-14 22:11:02.000,19699.0,91175013.0,https://anaconda.org/conda-forge/cryptography,2021-12-17 01:16:22.583,19388849.0,,,,,1.0,,,,,,,,,,,
16,rich,Textualize/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,,cli-helpers,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-03-10 12:50:57.000,2022-03-10 12:50:56,2883.0,399.0,1160,525.0,619.0,30.0,682.0,35767,2022-02-08 20:13:09.000,11.2.0,154.0,157.0,42,True,rich,conda-forge/rich,,,4988876.0,14795.0,13242.0,https://pypi.org/project/rich,2022-03-09 13:50:14.000,1553.0,4955464.0,https://anaconda.org/conda-forge/rich,2022-02-08 21:24:54.371,668256.0,,,,,1.0,,,,,,,,,,,
17,docker-compose,docker/compose,Define and run multi-container applications with Docker.,,infrastructure,https://github.com/docker/compose,https://github.com/docker/compose,Apache-2.0,2013-12-09 11:40:58.000,2022-03-10 13:25:10.000,2022-03-10 11:11:02,3182.0,104.0,4253,693.0,3066.0,747.0,5431.0,25185,2022-03-09 14:00:18.000,2.3.3,144.0,426.0,42,True,docker-compose,conda-forge/docker-compose,,159279423.0,4625327.0,9797.0,8580.0,https://pypi.org/project/docker-compose,2021-05-10 11:22:10.000,1217.0,1966296.0,https://anaconda.org/conda-forge/docker-compose,2022-02-03 10:07:00.577,188083.0,,,,,2.0,,,,,,,,,,,
18,Faker,joke2k/faker,Faker is a Python package that generates fake data for you.,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000,2022-03-08 20:03:25.314,2022-03-07 20:09:36,2897.0,76.0,1589,218.0,1072.0,164.0,423.0,13846,2022-03-07 20:09:55.000,13.3.1,209.0,447.0,42,True,Faker,conda-forge/faker,,,5785014.0,53646.0,50813.0,https://pypi.org/project/Faker,2022-03-07 20:09:55.000,2833.0,5775978.0,https://anaconda.org/conda-forge/faker,2022-03-08 20:03:25.314,542172.0,,,,,1.0,,,,,,,,,,,
